company_name,phone,address,postal_code,municipality,province,business_purpose,social_capital,start_date,coordinates,url
ARNAUD BCN GROUP SL,+34932531187,CL PALLARS NUM.193,08005,Barcelona,Barcelona,"ACTIVIDAD PRINCIPAL: 7020 / OTRAS ACTIVIDADES DE CONSULTORIA DE GESTION EMPRESARIAL. OTRAS ACTIVIDADES: 9699 / OTROS SERVICIOS PERSONALES N.C.O.P.. 4618 / ACTIVIDADES DE INTERMEDIARIOS DEL COMERCIO AL POR MAYOR DE OTROS, ETC","3.000,00 Euros",29/05/2025,"41.40139535552083,2.197441270878622",https://www.datoscif.es/empresa/arnaud-bcn-group-sl
EL ENCANTO MEDIA SL,+34916165875,C/ ACTOR TONY LEBLANC 20,28670,Villaviciosa de Odón,Madrid,Relaciones públicas y comunicación,"3.000,00 Euros",29/05/2025,"40.35728026052315,-3.91098112584542",https://www.datoscif.es/empresa/el-encanto-media-sl
ACHIEVE TALENT ANGELS SL,+34911332615,PASEO DE LA CASTELLANA 216 8º,28046,Madrid,Madrid,Otras actividades de consultoría de gestión empresarial,"3.000,00 Euros",30/05/2025,"40.46673367863993,-3.68812097263952",https://www.datoscif.es/empresa/achieve-talent-angels-sl
BEGORA HOME SL,+34911271259,"C/ GRAFITO, NUMERO 22, PUERTA C, ESCALERA 3, PLANT",28850,Torrejón de Ardoz,Madrid,Otras actividades de consultoría de gestión empresarial,"3.000,00 Euros",01/06/2025,"40.45163778707254,-3.46391675908544",https://www.datoscif.es/empresa/begora-home-sl
EP PROJECT & INVEST SL,+34965201133,CALLE MAISONNAVE Número31 1 B,03003,Alicante/Alacant,Alicante/Alacant,Las actividades correspondientes a los códigos y descripciones del CNAE: 7111 - Servicios técnicos de arquitectura. -Intermediación-.6820 - Alquiler de bienes inmobiliarios por cuenta propia. 4101 - Construcción de edificios residenciales. 6811 - Compraventa de bienes inmobiliarios por cuenta propia,"5.000,00 Euros",08/05/2025,"38.34321852114545,-0.49102311800645",https://www.datoscif.es/empresa/ep-project-invest-sl
2B INGENIEROS ESP SL,+34624609595,"AVDA POLONIA , 220 0 1 - GRAN ALACANT",03130,Santa Pola,Alicante/Alacant,CNAE 7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico. Tiene la intermediación en las actividades profesionales,"3.000,00 Euros",01/06/2025,"38.24127017092365,-0.52876116611645",https://www.datoscif.es/empresa/2b-ingenieros-esp-sl
RETAINING NETWORK SL,+34933210656,CL JOAQUIM RUYRA NUM.9,08025,Barcelona,Barcelona,ACTIVIDAD PRINCIPAL: 7112 / SERVICIOS TECNICOS DE INGENIERIA Y OTRAS ACTIVIDADES RELACIONADAS CON EL ASESORAMIENTO TECNICO,"3.000,00 Euros",02/06/2025,"41.40591030564897,2.163777348928759",https://www.datoscif.es/empresa/retaining-network-sl
ECO GREEN CORP SL,+34657600473,"PZ EUROPA, 9-11, 15D",08907,L'Hospitalet de Llobregat,Barcelona,"ACTIVIDAD PRINCIPAL: CNAE 7112 INTERMEDIACION EN LA PRESTACION DE SERVICIOS TECNICOS DE INGENIERIA Y OTRAS ACTIVIDADES RELACIONADAS CON EL ASESORAMIENTO TECNICO. OTRAS ACTIVIDADES: CNAE 4321, ETC","3.000,00 Euros",15/04/2025,"41.35308728963408,2.113645601346087",https://www.datoscif.es/empresa/eco-green-corp-sl
AJULESA G &B SL,+34924207375,"AVDA ESPAÑA, 18 2º 10003",10002,Cáceres,Cáceres,Actividades jurídicas,"3.000,00 Euros",05/05/2025,"39.46938125231717,-6.37956995624518",https://www.datoscif.es/empresa/ajulesa-g-b-sl
SUAREZ ASESORIA GLOBAL SL,+34606453026,"AVDA DA MARIÑA, 42, SAN CIBRAO 27890",27890,Cervo,Lugo,"a) Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal; (CNAE 6920). b) Otra educación n.c.o.p; (CNAE 8559). c) Actividades de diseño gráfico y de comunicación visual; (CNAE 7412)","3.000,00 Euros",22/05/2025,"43.69450392103317,-7.44234543125893",https://www.datoscif.es/empresa/suarez-asesoria-global-sl
MUPED CONSULTORIA FISCAL SL,+34937114763,PS COMERC NUM.14 P.1 PTA.B,08203,Sabadell,Barcelona,"ACTIVIDAD PRINCIPAL: 6920 / ACTIVIDADES DE CONTABILIDAD, TENEDURIA DE LIBROS, AUDITORIA Y ASESORIA FISCAL","3.000,00 Euros",29/05/2025,"41.53165725597405,2.115092305835340",https://www.datoscif.es/empresa/muped-consultoria-fiscal-sl
SAEDI ORIGEN SL,+34938818687,"CM DE CAN VERNET, 14 BIS",08173,Sant Cugat del Vallès,Barcelona,"SERVICIOS CONTABLES, SERVICIOS DE ASESORAMIENTO Y GESTION ECONOMICA, ASESORIA FISCAL, CONTABLE, LABORAL Y MERCANTIL. CONSULTORIA, ANALISIS DE BALANCES Y PRESENTACION DE ESTADOS FINANCIEROS Y CONTABLES. CNAE 6920","3.000,00 Euros",30/04/2025,"41.47609896005061,2.077646761163186",https://www.datoscif.es/empresa/saedi-origen-sl
AIBARA GESTIO 2025 SL,+34977663607,"PASEO DE LA MASIA BLANCA, 19 Bl.C Esc.C 1º 1 43880",43880,El Vendrell,Tarragona,"Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal","3.000,00 Euros",21/05/2025,"41.18032737456431,1.513104734382933",https://www.datoscif.es/empresa/aibara-gestio-2025-sl
OVETUS ABOGADOS & CONSULTORES SL,+34985278163,"PLAZA PRIMO DE RIVERA, 1-OFICINA 12-A 33001",33001,Oviedo,Asturias,"CNAE: 7020. Otras actividades de consultoría de gestión empresarial. En aquellas actividades que tuvieran carácter profesional la sociedad actuará como mediadora. Objeto: Las actividades de consultoría, de gestión empresarial, los servicios de intermediación para actividades inmobiliarias, así como","12.000,00 Euros",13/05/2025,"43.36793923185628,-5.84898950195429",https://www.datoscif.es/empresa/ovetus-abogados-consultores-sl
ESTRATEGIAS DE IMPLANTACION SL,+34961379600,AVDA BENJAMIN FRANKLIN 12,46980,Paterna,Valencia,"Actividad principal: 70.20 / Otras actividades de consultoría de gestión empresarial. Otras actividades: 43.50 / Actividades de construcción especializada en ingeniería civil, 77.39 / Alquiler de otra maquinaria, equipos y bienes tangibles n.c.o.p., 46.89 / Otro comercio al por mayor especializado n","3.000,00 Euros",01/06/2025,"39.54809686031599,-0.46084270550861",https://www.datoscif.es/empresa/estrategias-de-implantacion-sl
MARSO NOI SL,+34976968249,PASEO INDEPENDENCIA 19 4º 1ª,50001,Zaragoza,Zaragoza,"CNAE 7020. 1. La compra, suscripción, permuta y venta de valores mobiliarios, por cuenta propia y sin actividad de intermediación, con la finalidad de dirigir, administrar y gestionar dichas participaciones.  Se exceptúan las actividades expresamente reservadas por la Ley a las Instituciones de Inver","3.500,00 Euros",26/05/2025,"41.65070765334745,-0.88188244055305",https://www.datoscif.es/empresa/marso-noi-sl
CONVALIDACIONS CATALUNYA SL,+34666861646,CL LA RIERA NUM.22 P.2,08301,Mataró,Barcelona,ACTIVIDAD PRINCIPAL: 7020 / OTRAS ACTIVIDADES DE CONSULTORIA DE GESTION EMPRESARIAL. OTRAS ACTIVIDADES: 8559 / OTRA EDUCACION N.C.O.P.. 8569 / ACTIVIDADES AUXILIARES A LA EDUCACION N.C.O.P,"3.000,00 Euros",30/05/2025,"41.54321063656591,2.454513654353515",https://www.datoscif.es/empresa/convalidacions-catalunya-sl
PROFESSIONAL LAND SERVICES ON DESTINATION SL,+34922027310,"C/ SAN JUAN, 15-PLANTA 1ª, PUERTA 9 38203",38203,San Cristóbal de La Laguna,Santa Cruz de Tenerife,"ACTIVIDAD PRINCIPAL: - (CNAE 79.11). Actividades de las agencias de viajes. -OTRAS ACTIVIDADES: -Actividades de los operadores turísticos. -Otros servicios de reservas y actividades relacionadas con los mismos. - Limpieza general de edificios. - Construcción, instalaciones y mantenimiento. - Comerci","3.000,00 Euros",16/04/2025,"28.46781206811339,-16.2846632006206",https://www.datoscif.es/empresa/professional-land-services-on-destination-sl
SU VIAJE HUESCA SL,+34974564931,C/ LOS OLIVOS 11 2 H,22005,Huesca,Huesca,Agencia de viajes -CNAE 7911-,"3.000,00 Euros",10/04/2025,"42.13038662464298,-0.40660222820348",https://www.datoscif.es/empresa/su-viaje-huesca-sl
METRANSFERS GESTION SL,+34933737851,AV MARE DE DEU DE MONTSERRAT NUM.18 P.5 PTA.2,08970,Sant Joan Despí,Barcelona,"ACTIVIDAD PRINCIPAL: 7911 / ACTIVIDADES DE LAS AGENCIAS DE VIAJES. OTRAS ACTIVIDADES: 7751 / SERVICIOS DE INTERMEDIACION PARA EL ALQUILER DE AUTOMOVILES, AUTOCARAVANAS Y REMOLQUES. 7711 / ALQUILER DE AUTOMOVILES , ETC","3.000,00 Euros",30/05/2025,"41.36944767355641,2.065210894332792",https://www.datoscif.es/empresa/metransfers-gestion-sl
SAYA CAT SL,100015293,AV CAN BORDOLL NUM.118,08202,Sabadell,Barcelona,"ACTIVIDAD PRINCIPAL: 8110 / SERVICIOS INTEGRALES A EDIFICIOS E INSTALACIONES. OTRAS ACTIVIDADES: 8122 / OTRAS ACTIVIDADES DE LIMPIEZA INDUSTRIAL Y DE EDIFICIOS.  5611 / RESTAURANTES. 4334 / PINTURA Y ACRISTALAMIENTO, ETC","3.000,00 Euros",29/05/2025,"41.53527768808966,2.130472000011476",https://www.datoscif.es/empresa/saya-cat-sl
SUPERBRILLOMAX C'S SL,+34918026326,"C/ FERNAN GONZALEZ 7, PUERTA D, PLANTA 4 4 D",28803,Alcalá de Henares,Madrid,Limpieza general de edificios,"3.000,00 Euros",29/05/2025,"40.47441430834451,-3.37611068456839",https://www.datoscif.es/empresa/superbrillomax-c-s-sl
